product_id,url
4,oro-00000004-najqukru.html
7,oro-00000007-dnsm6kpo.html
8,oro-00000008-ie9ctbrc.html
10,oro-00000010-dxp1rlnp.html
11,oro-00000011-vqd5ahfj.html
12,oro-00000012-wgrpjeau.html
14,oro-00000014-md7fcpz8.html
15,oro-00000015-kgc2brs9.html
16,oro-00000016-wrtp7wmt.html
19,oro-00000019-saykvxte.html
21,oro-00000021-1nah8uj8.html
22,oro-00000022-bzwlkdrh.html
26,oro-00000026-silbjc5y.html
29,oro-00000029-tfqyxm2g.html
30,oro-00000030-r6q5vvlp.html
31,oro-00000031-snnkn7bf.html
32,oro-00000032-xzwpjttw.html
34,oro-00000034-ceneulg7.html
35,oro-00000035-19wscley.html
36,oro-00000036-j4llsbqf.html
39,oro-00000039-hgknut2q.html
40,oro-00000040-e34s6xtu.html
41,oro-00000041-zq5iciob.html
42,oro-00000042-d2fjtu57.html
43,oro-00000043-elvdbgip.html
45,oro-00000045-vpo0gkvh.html
46,oro-00000046-lys7pjfg.html
47,oro-00000047-z7n8p30v.html
51,oro-00000051-ky9ifczj.html
52,oro-00000052-2bw3kqzp.html
54,oro-00000054-e07z7zvy.html
55,oro-00000055-qybpezcs.html
57,oro-00000057-3cncshsw.html
58,oro-00000058-mdpego30.html
59,oro-00000059-mbfnheev.html
60,oro-00000060-vla8xzjr.html
63,oro-00000063-fj2jz01t.html
65,oro-00000065-jtibjzpr.html
67,oro-00000067-tlukswub.html
69,oro-00000069-qo5aqkyu.html
70,oro-00000070-ov8viu0u.html
73,oro-00000073-rdrjtqbj.html
74,oro-00000074-sryzrfwv.html
75,oro-00000075-anchnl5r.html
76,oro-00000076-uwdrvsbl.html
78,oro-00000078-oqlngwwo.html
79,oro-00000079-4mi2gezt.html
81,oro-00000081-n4de6spa.html
83,oro-00000083-nd4hjqbd.html
85,oro-00000085-atb1t4fx.html
87,oro-00000087-p9s65hfm.html
88,oro-00000088-rwxrxblv.html
89,oro-00000089-o8zyyzat.html
90,oro-00000090-gasx26we.html
91,oro-00000091-fofawxpr.html
92,oro-00000092-gwiqnxot.html
93,oro-00000093-jwmfvafl.html
94,oro-00000094-bn3hbq7p.html
95,oro-00000095-9jqvok4n.html
96,oro-00000096-abymvbso.html
97,oro-00000097-mv2p8zxe.html
98,oro-00000098-bxzkvlop.html
